url	imdb_url
/wiki/Bonnie_and_Clyde_(film)	tt0061418
/wiki/Bored_of_Education	tt0027385
/wiki/Born_Free	tt0060182
/wiki/Born_into_Brothels	tt0388789
/wiki/Born_on_the_Fourth_of_July_(film)	tt0096969
/wiki/Born_Yesterday_(1950_film)	tt0042276
/wiki/Bound_for_Glory_(film)	tt0074235
/wiki/The_Bourne_Ultimatum_(film)	tt0440963
/wiki/Bowling_for_Columbine	tt0310793
/wiki/A_Boy_and_His_Dog_(1946_film)	tt0038379
/wiki/Boys_and_Girls_(1983_film)	tt0083688
/wiki/Boys_Don%27t_Cry_(film)	tt0171804
/wiki/Boys_Town_(film)	tt0029942
/wiki/Bram_Stoker%27s_Dracula	tt0103874
/wiki/Brave_(2012_film)	tt1217209
/wiki/The_Brave_One_(1956_film)	tt0049030
/wiki/Braveheart	tt0112573
/wiki/Breakfast_at_Tiffany%27s_(film)	tt0054698
/wiki/Breaking_Away	tt0078902
/wiki/The_Sound_Barrier	tt0044446
/wiki/Breathing_Lessons:_The_Life_and_Work_of_Mark_O%27Brien	tt0115753
/wiki/The_Bridge_of_San_Luis_Rey_(1929_film)	tt0019722
/wiki/The_Bridge_on_the_River_Kwai	tt0050212
/wiki/The_Bridges_at_Toko-Ri	tt0046806
/wiki/Broadway_Melody_of_1936	tt0026144
/wiki/The_Broadway_Melody	tt0019729
/wiki/Brokeback_Mountain	tt0388795
/wiki/Broken_Lance	tt0046808
/wiki/Broken_Rainbow_(film)	tt0088857
/wiki/The_Buddy_Holly_Story	tt0077280
/wiki/Bugsy	tt0101516
/wiki/Bullets_Over_Broadway	tt0109348
/wiki/Bullitt	tt0062765
/wiki/Bunny_(1998_film)	tt0179011
/wiki/Burnt_by_the_Sun	tt0111579
/wiki/Busy_Little_Bears	tt0031128
/wiki/Butch_Cassidy_and_the_Sundance_Kid	tt0064115
/wiki/BUtterfield_8	tt0053622
/wiki/Butterflies_Are_Free	tt0068326
/wiki/Cabaret_(film)	tt0068327
/wiki/Cactus_Flower_(film)	tt0064117
/wiki/Calamity_Jane_(1953_film)	tt0045591
/wiki/California_Suite_(film)	tt0077289
/wiki/Call_Me_Madam_(film)	tt0045592
/wiki/Camelot_(film)	tt0061439
/wiki/The_Candidate_(1972_film)	tt0068334
/wiki/Capote_(film)	tt0379725
/wiki/Captain_Carey,_U.S.A.	tt0042310
/wiki/Captains_Courageous_(1937_film)	tt0028691
/wiki/Casablanca_(film)	tt0034583
/wiki/Casals_Conducts:_1964	tt0057922
/wiki/Cat_Ballou	tt0059017
/wiki/The_Cat_Concerto	tt0039251
/wiki/Cavalcade_(1933_film)	tt0023876
/wiki/Chagall_(film)	tt0056920
/wiki/The_Champ	tt0021730
/wiki/Champion_(1949_film)	tt0041239
/wiki/A_Chance_to_Live	tt0041240
/wiki/Character_(1997_film)	tt0119448
/wiki/Charade_(1984_film)	tt0087040
/wiki/The_Charge_of_the_Light_Brigade_(1936_film)	tt0027438
/wiki/Chariots_of_Fire	tt0082158
/wiki/Charly	tt0062794
/wiki/Chernobyl_Heart	tt0396959
/wiki/Chicago_(2002_film)	tt0299658
/wiki/The_Chicken_(film)	tt0059613
/wiki/Children_of_a_Lesser_God	tt0090830
/wiki/Chinatown_(1974_film)	tt0071315
/wiki/A_Christmas_Carol_(1971_film)	tt0068373
/wiki/The_Chronicles_of_Narnia:_The_Lion,_the_Witch_and_the_Wardrobe	tt0363771
/wiki/The_Chubbchubbs!	tt0331218
/wiki/Churchill%27s_Island	tt0033466
/wiki/The_Cider_House_Rules_(film)	tt0124315
/wiki/Cimarron_(1931_film)	tt0021746
/wiki/Cinema_Paradiso	tt0095765
/wiki/Citizen_Kane	tt0033467
/wiki/City_of_Wax	tt0024986
/wiki/City_Slickers	tt0101587
/wiki/Cleopatra_(1934_film)	tt0024991
/wiki/Cleopatra_(1963_film)	tt0056937
/wiki/Climbing_the_Matterhorn	tt0039267
/wiki/Close_Encounters_of_the_Third_Kind	tt0075860
/wiki/Close_Harmony_(1981_film)	tt0082187
/wiki/A_Close_Shave	tt0112691
/wiki/Closed_Mondays	tt0071337
/wiki/Closely_Watched_Trains	tt0060802
/wiki/Coal_Miner%27s_Daughter	tt0080549
/wiki/Cocoon_(film)	tt0088933
/wiki/Cold_Mountain_(film)	tt0159365
/wiki/The_Color_of_Money	tt0090863
/wiki/Come_and_Get_It_(film)	tt0027459
/wiki/Come_Back,_Little_Sheba_(1952_film)	tt0044509
/wiki/Coming_Home_(1978_film)	tt0077362
/wiki/Common_Threads:_Stories_from_the_Quilt	tt0097099
/wiki/The_Constant_Gardener_(film)	tt0387131
/wiki/Cool_Hand_Luke	tt0061512
/wiki/Coquette_(film)	tt0019788
/wiki/The_Counterfeiters_(film)	tt0813547
/wiki/The_Country_Cousin	tt0027468
/wiki/The_Country_Girl_(1954_film)	tt0046874
/wiki/The_Cove_(film)	tt1313104
/wiki/Cover_Girl_(film)	tt0036723
/wiki/The_Cowboy_and_the_Lady_(1938_film)	tt0030018
/wiki/Crac	tt0082209
/wiki/Crash_(2004_film)	tt0375679
/wiki/Crash_Dive	tt0035763
/wiki/Crashing_the_Water_Barrier	tt0049102
/wiki/Crazy_Heart	tt1263670
/wiki/Creature_Comforts	tt0099317
/wiki/Cries_and_Whispers	tt0069467
/wiki/The_Critic_(cartoon)	tt0056965
/wiki/Cromwell_(film)	tt0065593
/wiki/Crouching_Tiger,_Hidden_Dragon	tt0190332
/wiki/The_Crunch_Bird	tt0066959
/wiki/The_Crying_Game	tt0104036
/wiki/Curfew_(2012_film)	tt2088735
/wiki/The_Curious_Case_of_Benjamin_Button_(film)	tt0421715
/wiki/Cyrano_de_Bergerac_(1950_film)	tt0042367
/wiki/Cyrano_de_Bergerac_(1990_film)	tt0099334
/wiki/Czechoslovakia_1968	tt0064200
/wiki/A_Damsel_in_Distress_(film)	tt0028757
/wiki/Dances_with_Wolves	tt0099348
/wiki/Dangerous_(film)	tt0026261
/wiki/Dangerous_Liaisons	tt0094947
/wiki/Dangerous_Moves	tt0087144
/wiki/The_Danish_Poet	tt0933357
/wiki/The_Dark_Angel_(1935_film)	tt0026264
/wiki/The_Dark_Knight_(film)	tt0468569
/wiki/Darling_(1965_film)	tt0059084
/wiki/The_Dawn_Patrol_(1930_film)	tt0020815
/wiki/Day_for_Night_(film)	tt0070460
/wiki/Day_of_the_Painter	tt0053753
/wiki/Daybreak_in_Udi	tt0041283
/wiki/Days_of_Heaven	tt0077405
/wiki/Days_of_Waiting	tt0099372
/wiki/Days_of_Wine_and_Roses_(film)	tt0055895
/wiki/Dead_Man_Walking_(film)	tt0112818
/wiki/Dead_Poets_Society	tt0097165
/wiki/Deadly_Deception:_General_Electric,_Nuclear_Weapons_and_Our_Environment	tt0101683
/wiki/Dear_Diary_(1996_film)	tt0116058
/wiki/Death_Becomes_Her	tt0104070
/wiki/Death_on_the_Nile_(1978_film)	tt0077413
/wiki/December_7th_(film)	tt0035790
/wiki/Declaration_of_Independence_(film)	tt0030046
/wiki/The_Deer_Hunter	tt0077416
/wiki/Defending_Our_Lives	tt0106694
/wiki/The_Defiant_Ones	tt0051525
/wiki/The_Departed	tt0407887
/wiki/Departures_(film)	tt1069238
/wiki/Der_Fuehrer%27s_Face	tt0035794
/wiki/Dersu_Uzala_(1975_film)	tt0071411
/wiki/The_Descendants_(film)	tt1033575
/wiki/Desert_Victory	tt0035796
/wiki/Design_for_Death	tt0040285
/wiki/Designing_Woman	tt0050306
/wiki/Destination_Moon_(film)	tt0042393
/wiki/The_Diary_of_Anne_Frank_(1959_film)	tt0052738
/wiki/Dick_Tracy_(1990_film)	tt0099422
/wiki/Dirty_Dancing	tt0092890
/wiki/The_Dirty_Dozen	tt0061578
/wiki/The_Discreet_Charm_of_the_Bourgeoisie	tt0068361
/wiki/Disraeli_(1929_film)	tt0019823
/wiki/The_Divine_Lady	tt0019824
/wiki/Divorce,_Italian_Style	tt0055913
/wiki/The_Divorcee	tt0020827
/wiki/Django_Unchained	tt1853728
/wiki/Doctor_Dolittle_(film)	tt0061584
