url	imdb_url	Title	Year
/wiki/Battleground_(film)	tt0041163	Battleground	1949
/wiki/Bear_Country_(film)	tt0045545	Bear Country	1953
/wiki/A_Beautiful_Mind_(film)	tt0268978	A Beautiful Mind	2001
/wiki/Beauty_and_the_Beast_(1991_film)	tt0101414	Beauty and the Beast	1991
/wiki/Becket_(1964_film)	tt0057877	Becket	1964
/wiki/Bedknobs_and_Broomsticks	tt0066817	Bedknobs and Broomsticks	1971
/wiki/Beetlejuice	tt0094721	Beetlejuice	1988
/wiki/Beginners	tt1532503	Beginners	2010
/wiki/Being_There	tt0078841	Being There	1979
/wiki/Belle_Epoque_(film)	tt0103791	Belle Epoque	1992
/wiki/The_Bells_of_St._Mary%27s	tt0037536	The Bells of St. Mary's	1945
/wiki/Ben-Hur_(1959_film)	tt0052618	Ben-Hur	1959
/wiki/Benjy	tt0043334	Benjy	1951
/wiki/The_Bespoke_Overcoat	tt0049000	The Bespoke Overcoat	1956
/wiki/Best_Boy_(film)	tt0078850	Best Boy	1979
/wiki/The_Best_Years_of_Our_Lives	tt0036868	The Best Years of Our Lives	1946
/wiki/Beyond_the_Line_of_Duty	tt0034511	Beyond the Line of Duty	1942
/wiki/The_Big_Broadcast_of_1938	tt0029912	The Big Broadcast of 1938	1938
/wiki/The_Big_Country	tt0051411	The Big Country	1958
/wiki/The_Big_House_(1930_film)	tt0020686	The Big House	1930
/wiki/Big_Mama_(film)	tt0280353	Big Mama	2000
/wiki/Bird_(film)	tt0094747	Bird	1988
/wiki/Birds_Anonymous	tt0050194	Birds Anonymous	1957
/wiki/The_Bishop%27s_Wife	tt0039190	The Bishop's Wife	1947
/wiki/Black_and_White_in_Color	tt0074972	Black and White in Color	1976
/wiki/Black_Fox:_The_Rise_and_Fall_of_Adolf_Hitler	tt0055801	Black Fox: The True Story of Adolf Hitler	1962
/wiki/Black_Hawk_Down_(film)	tt0265086	Black Hawk Down	2001
/wiki/Black_Narcissus	tt0039192	Black Narcissus	1947
/wiki/Black_Orpheus	tt0053146	Black Orpheus	1959
/wiki/Black_Swan_(film)	tt0947798	Black Swan	2010
/wiki/The_Black_Swan_(film)	tt0034522	The Black Swan	1942
/wiki/The_Blind_Side_(film)	tt0878804	The Blind Side	2009
/wiki/Blithe_Spirit_(1945_film)	tt0038363	Blithe Spirit	1945
/wiki/Blood_and_Sand_(1941_film)	tt0033405	Blood and Sand	1941
/wiki/The_Blood_of_Yingzhou_District	tt0859595	The Blood of Yingzhou District	2006
/wiki/Blood_on_the_Sun	tt0037547	Blood on the Sun	1945
/wiki/Blossoms_in_the_Dust	tt0033407	Blossoms in the Dust	1941
/wiki/Blue_Sky_(film)	tt0109306	Blue Sky	1994
/wiki/Board_and_Care	tt0078885	Board and Care	1980
/wiki/Bob%27s_Birthday	tt0106446	Bob's Birthday	1994
/wiki/Body_and_Soul_(1947_film)	tt0039204	Body and Soul	1947
/wiki/The_Bolero	tt0069812	The Bolero	1973
/wiki/Bonnie_and_Clyde_(film)	tt0061418	Bonnie and Clyde	1967
/wiki/Bored_of_Education	tt0027385	Bored of Education	1936
/wiki/Born_Free	tt0060182	Born Free	1966
/wiki/Born_into_Brothels	tt0388789	Born Into Brothels: Calcutta's Red Light Kids	2004
/wiki/Born_on_the_Fourth_of_July_(film)	tt0096969	Born on the Fourth of July	1989
/wiki/Born_Yesterday_(1950_film)	tt0042276	Born Yesterday	1950
/wiki/Bound_for_Glory_(film)	tt0074235	Bound for Glory	1976
/wiki/The_Bourne_Ultimatum_(film)	tt0440963	The Bourne Ultimatum	2007
/wiki/Bowling_for_Columbine	tt0310793	Bowling for Columbine	2002
/wiki/A_Boy_and_His_Dog_(1946_film)	tt0038379	A Boy and His Dog	1946
/wiki/Boys_and_Girls_(1983_film)	tt0083688	Boys and Girls	1983
/wiki/Boys_Don%27t_Cry_(film)	tt0171804	Boys Don't Cry	1999
